stat_type,train_rows,val_rows,nll_before,nll_after_param,crps_before,crps_after_param,cov90_before,cov90_after_param,pit_ks_before,pit_ks_after_param,pit_ks_after_full,a,b,c,d,eta,use_neff_inflation
Blocked Shots,26189,4853,0.15321767330169678,0.09904544800519943,0.3903028666973114,0.37924304604530334,0.9169585823202143,0.9266433134143829,0.3048897013820473,0.2068907939758886,0.04060229339828719,1.3239108324050903,-0.2311064898967743,0.9429890513420105,0.204075425863266,0.6163073778152466,True
Steals,26189,4853,0.515477180480957,0.45993366837501526,0.5336896777153015,0.5293505787849426,0.9037708633834741,0.9307644755821142,0.17044608782867093,0.1469024769822126,0.021477853067756625,1.0115306377410889,-0.01640886254608631,0.5028630495071411,0.812697172164917,0.2844952344894409,True
Offensive Rebounds,26189,4853,0.6855842471122742,0.6258994936943054,0.657255232334137,0.643405556678772,0.9171646404286009,0.9268493715227695,0.1656372454113354,0.09791750025926071,0.01783899353745555,1.285667896270752,-0.4204222559928894,0.9051257967948914,0.4256754517555237,2.14975643157959,True
3-PT Made,26189,4853,0.8989284038543701,0.6399701237678528,0.7117257714271545,0.6763104796409607,0.8139295281269318,0.9301463012569544,0.16129795035553451,0.08785997048348904,0.01944631564392041,1.777327299118042,-1.0112643241882324,1.092137336730957,0.14259006083011627,2.220863103866577,True
Turnovers,26189,4853,0.7499610185623169,0.6962270736694336,0.680813729763031,0.6758619546890259,0.9120131877189367,0.9184009890789202,0.11228072339914125,0.08514377504261705,0.015879159830386208,1.4318684339523315,-0.589257001876831,0.6720368266105652,0.8681542873382568,1.0515447854995728,True
Blks+Stls,26189,4853,0.7859459519386292,0.7163863182067871,0.6989130973815918,0.6902139186859131,0.9136616525860293,0.9322068823408202,0.12200286251207049,0.10056621073915029,0.014721023667993882,1.2375551462173462,-0.35337305068969727,0.5999115109443665,0.9993085861206055,0.5336869359016418,True
Personal Fouls,26189,4853,0.9141432642936707,0.7983570694923401,0.7892027497291565,0.7680681943893433,0.9111889552853905,0.9278796620647023,0.11829315890190945,0.08513511858255673,0.02325801511865877,0.96687251329422,-0.07191295176744461,0.32338833808898926,1.290961742401123,0.630377471446991,True
Free Throws Made,26189,4853,1.1902869939804077,1.0279215574264526,0.9622622132301331,0.9670640826225281,0.8895528539048011,0.9441582526272408,0.19329372705466075,0.14906773202669343,0.019498999839954845,1.4476135969161987,-0.620660126209259,0.904703676700592,1.215089201927185,1.100024700164795,True
Assists,26189,4853,1.3188018798828125,1.083483099937439,1.061545729637146,1.016639232635498,0.8666804038738924,0.9258190809808367,0.1299684938513911,0.06156329322716092,0.018369292684693228,1.7282387018203735,-1.8253357410430908,0.8792083263397217,1.1617565155029297,1.215701699256897,True
Two Pointers Made,26189,4853,1.2732902765274048,1.0969595909118652,1.079490303993225,1.025855541229248,0.8491654646610344,0.9301463012569544,0.12979178967339317,0.06709784569014188,0.02670580321362742,1.7283118963241577,-1.9321731328964233,0.8792562484741211,1.2961311340332031,1.0317943096160889,True
Defensive Rebounds,26189,4853,1.347949743270874,1.228990077972412,1.2050849199295044,1.1676570177078247,0.8819287038944983,0.9235524417885844,0.12201316449879468,0.05567435291706102,0.014847992801587773,1.486179232597351,-1.7275429964065552,0.7052419781684875,1.6324266195297241,0.798205554485321,True
3-PT Attempted,26189,4853,1.9079805612564087,1.2297372817993164,1.3324161767959595,1.1671066284179688,0.7774572429425098,0.9282917782814754,0.14245014318529658,0.07607868474069734,0.02838589266570879,1.9606757164001465,-3.503980875015259,0.8174588680267334,1.6027638912200928,0.8747203946113586,True
Free Throws Attempted,26189,4853,1.4081560373306274,1.2318135499954224,1.179890751838684,1.179458498954773,0.8903770863383474,0.9342674634246858,0.17571097025300408,0.12378972376987118,0.019637242924081977,1.4496856927871704,-0.8451852798461914,0.8562039732933044,1.577836513519287,0.8130393028259277,True
FG Made,26189,4853,1.5139093399047852,1.3380658626556396,1.3544096946716309,1.2920773029327393,0.852668452503606,0.9274675458479291,0.10656906602654337,0.06745609388679619,0.022874554943106196,1.6255180835723877,-2.442256450653076,0.6797913312911987,2.024099588394165,0.7207955121994019,True
__global__,576158,106766,1.5114829540252686,1.3981342315673828,1.6814552545547485,1.6762782335281372,0.8609295093943765,0.9488975891201319,0.13492389254345538,0.08268927215665633,0.016590920992839764,1.0569283962249756,-0.28761938214302063,1.1860020160675049,1.108142375946045,2.663994073867798,True
Rebounds,26189,4853,1.6109572649002075,1.435318112373352,1.5147285461425781,1.4401942491531372,0.8617350092726149,0.922316093138265,0.13263946946026395,0.05316943786278372,0.015944569621542337,1.6049696207046509,-2.902681827545166,0.7497349381446838,2.0033717155456543,0.7517850399017334,True
Two Pointers Attempted,26189,4853,1.7845885753631592,1.4889975786209106,1.6717456579208374,1.508287787437439,0.8213476200288481,0.9284978363898619,0.13508313796015686,0.055281347511675905,0.024562186321764712,1.8189759254455566,-4.076600074768066,0.8098129630088806,2.157684803009033,0.7389110922813416,True
Rebs+Asts,26189,4853,2.0608086585998535,1.7548874616622925,2.0802879333496094,1.9703574180603027,0.8497836389861941,0.9235524417885844,0.11892874547188831,0.05154829342881606,0.01891897941376372,1.6142817735671997,-4.463445663452148,0.6967751383781433,2.9314987659454346,0.6960330009460449,True
FG Attempted,26189,4853,2.09804105758667,1.8125641345977783,2.2968719005584717,2.0722012519836426,0.8079538429837214,0.9293220688234082,0.10980285162191744,0.05471772180251089,0.0273398425873288,1.731123924255371,-6.334906101226807,0.7113201022148132,3.2746105194091797,0.7007323503494263,True
Points,26189,4853,2.584744453430176,2.2935824394226074,3.55942964553833,3.357609748840332,0.8440140119513703,0.939831032351123,0.10825952309666037,0.07770207688264597,0.027623750106488876,1.6185498237609863,-6.424060344696045,0.8496384620666504,4.893901824951172,0.6829174757003784,True
Pts+Asts,26189,4853,2.7559003829956055,2.394073724746704,4.025566101074219,3.713449716567993,0.8219657943540079,0.94601277560272,0.11369628730494291,0.07989781423128928,0.02535127520964031,1.6136990785598755,-7.843552589416504,0.8808797597885132,5.386046886444092,0.7011969685554504,True
Pts+Rebs,26189,4853,2.7736504077911377,2.482567310333252,4.36501932144165,4.058598518371582,0.8248506078714197,0.9443643107356274,0.11376258569379799,0.07231154301572829,0.02818320652424855,1.550612211227417,-8.272199630737305,0.8752066493034363,5.892621040344238,0.7179679274559021,True
Pts+Rebs+Asts,26189,4853,2.920301675796509,2.5721943378448486,4.841367244720459,4.437880039215088,0.8122810632598393,0.949309705336905,0.11790892249673707,0.06924216438513942,0.025602638111690945,1.53171968460083,-9.235105514526367,0.9011954069137573,6.423501491546631,0.738499104976654,True
